comment,sentiment
she like me frfr very based and great,positive
welcome to nijisanjien,positive
been here since day 1,neutral
only have one thing to say you have good taste in music and that won me over like you and wish you success,positive
hi kotoka congrats on your debut pleasure to meet you 3,positive
congratulations to your debut,positive
what fish love your energy for life,positive
bangss,positive
bro that cobia shot,positive
way back my high school senior class chose this as our song for graduation overwhelmingly but the school wouldn let us use it lol,positive
will always have place in my heart for these guys you were with me through so many years memories shared with friends all will come racing back when ever listen to your music,positive
can every tear ever worth crying just got out god love them,positive
this is my absolute favorite there is something very soothing and calming about this song great for keeping mr anxiety away,positive
what the keyboard page is playing an old farfisa,neutral
2 old heads,neutral
this was one of the last songs my dad listened to and one of his favorites he wasnt even forty thank you,positive
probably the one video on yt watched the most times love it so much,positive
this video directly contributed to me decided to see 4 phish shows and counting beautiful,positive
yeah they are getting old but still sound great one of my all time favorite bands thanx for posting this,positive
this band is best in the league,positive
there cool man,positive
still love phish,positive
never been huge phish fan but this song pulls heartstrings never knew had never wasted couple minutes thank you cbro,positive
floored the wind tickled the treetops outside my home as this song wound down and feel utterly serene trey page martin and wurly all playing from barn in new england with sterling coffee service to boot does it get any better than this,positive
beatiful little song it is one thing to hit it hard but when it comes to touch the strings and keys very gently trey and page are quite unparalleled,positive
that one of the most beautiful things ve ever witnessed,positive
this song hits the feels saw trey play it at alpine valley last month and didn get it on first listen think lot of people can identify with the feeling of not wanting much in particular in life just genuine connection with someone friend or lover m in the stage of my life where my friends and drifted apart and have plenty of positive acquaintances but long for that deep connection beautiful performance too of course,positive
one of the greatest love songs ever written,positive
nice dance,positive
hi,neutral
the game does not allow you to download alternative versions of the songs do not have good internet connection and wanted to download the entire game and was surprised that cannot download all the content that the game supposedly offers me and for which am paying,negative
mmmmm m mom mommy j,neutral
not an extreme but ll take it,neutral
woman deserved this,neutral
where the recipe,neutral
did anyone not see the star glitch at the beginning,negative
got you 8 1k likes,neutral
cool,neutral
this is lot better than the classic thats it thats all have to say,positive
love ittt,positive
love this version,positive
she do be slaying it tho,positive
sad we still out here supporting doja,negative
she looks so much like doja help the expressions,positive
mothered the other coaches,neutral
was hoping for an extreme version but this looks slay love it,positive
also want hanukkah ultra magnus,neutral
the truck mode is great the robot mode is mess both the transformation and the color layout the blue head is especially bad compared to the rest of the color scheme,positive
hey emgo holiday prime truck mode is licenced volvo rig design,neutral
buuut priiiiiiiiiiiime,neutral
if the lower legs can be swapped and the cab halves were his feet this would be spot on mold for hero optimus prime the g2 air missile gimmick one just needs plug on canon attached to the trailer hitch instead of trailer that was my first optimus so hope that the intent and this is just the holiday pre tool release,neutral
optimus autobots transform and spread holiday cheer,positive
that would make an excellent armada type prime mold,positive
peppermint candy cane optimus do not eat toy is plastic lol,negative
these are fun but don like the truck paint job the snow makes it look like the red paint is coming off and they trailer could have been painted like sleigh looking forward to seeing the combat hero version eventually though,neutral
just shocked that this is new mold really curious if they will remold this in the future,positive
anyone else getting g2 hero optimus vibe from this perhaps new trailer with this version,positive
merry christmas emgo316,positive
why isn his trailer painted like the coca cola santa packs billboards,negative
that is not the matrix of leadership that is the matrix of jollyness,positive
you should have used green megatron to play the grinch,neutral
yeah this has to be legacy g2 hero optimus prime just in holiday colors before they maybe release normal deco of it,positive
it like kryptonite matrix,neutral
glad stopped collecting transformers used to with their masterpiece line but the brand is becoming like funko pops with so many variants just like how they used to be 80s kind,neutral
merry christmas everyone now this is an entirely new mold so hasbro is no doubt gonna re use this lot to get their money worth this also obviously based on the vintage g2 hero optimus prime figure so no doubt this will appear later in the legacy line or generations selects,neutral
you had the chance for jingle blooosh and wasted it the first time ve ever been sad with one of your reviews lol,negative
better headlights how will that improve crash survivability maybe help you avoid crash,neutral
bull shit there nothing better than toyota and honda put this test in your,negative
soundz like some good party music like the movie jack ass,positive
flipped my titan few months back going 75 in rain and landed in the treeline car was mangled beyond recognition but crawled out of the window with just broken wrist nothing else,neutral
cool,positive
imagine caring about the safety rating of your vehicle just don crash smh,neutral
how fast are these going,neutral
can stand these huge expensive trucks and love seeing them destroyed all that missing is the out of shape moron who drives them to the grocery store and back respect if you use them for construction or genuine towing more than twice year,neutral
lot of money,neutral
swnd me that one for free,neutral
in most of their crash test they use chevy vehicles do they hate chevy,neutral
feel bad for the peoples who made this,negative
if you re going to be in crash hit the object dead on in an offset crash your truck or car won withstand crash nearly as well,neutral
so do salvage yards bid on these wrecks,neutral
what happened the tundra did perfectly fine,neutral
this videos would be better without the music,neutral
hi,neutral
omg im fan,positive
what happened to cranier mess him on this channel,neutral
remember decenders,Ney
nah bro this ain really old school the real old school was 2015 robust memories,negative
do teardwon video,neutral
strong baby 52,neutral
who remembers descenders,neutral
golf it comes back gang beasts comes back gta comes back decenders comes back ultimate chicken horse yet to come,neutral
yay desenders,neutral
rember,neutral
forgot slogo,neutral
slogo merry christmas,positive
who wants logo to do another video on we need to go deeper,neutral
yes ve been waiting for this,positive
wow such normal game for rage quiters to quit in amazing ways,negative
yaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasssssssssssssssssssss,neutral
hey funkin idiots back with another video,negative
yay its back,positive
big surprise also is how fast they deleted the channel they could keep it at least for few days,negative
yeah graduation just say it who fired yugo normally you dont need to look good to us fans just say it you fired him didnt see anything wrong that yugo did why in christmas christmas was suppost to be the best month of the year but this is the worst sorry im bieng rude and stuff he was my happy place where do go now dont even have comfort zone now tsk this is just cruel they didnt let him say his byes think my heart will be little more calm if we get to see him for the kast time and hear him,negative
idk why m saying this but this year nijisanji is um kinda troubled,negative
sad that ina will not take part in the tournament last year she showed good performance and most importantly received bunch of positive emotions,positive
nearly all of holoen getting sick and now m sick for the first time in more than decade wtf is going on,negative
worked during the entire time of covid went shopping went to couple of restaurants with the family and have yet to get covid once and why do tuber get it even people work with got it and we don have lot of distance at work to be fair but we work outdoors maybe that the difference,neutral
really really despise the use of the term graduated and how it sanitizes and whitewashes the reality of these situations it feels like such scummy corporate sugarcoating to try and not paint the corporation in any semblance of bad light we have decided to have yugo asuma graduate bullshit just fucking call it as it is you fired him,negative
being influencer on social media youtube is not something to be taken lightly especially when you are being vtuber who has to act and play role this two separate identities tears at your ego apart,neutral
when people hate on holo when people hate on vshojo when people hate on niji oh my,negative
it feels bittersweet to see yuguys wishing yugo success in whatever he goes off to do next knowing that the fans might never be directed towards that chapter of yugo post life unless some doxsite were to connect the dots,negative
god damn they behave like he died tragic death bro was fired and you liked him so it fine to be sad and shocked but there is no need to word it like that honestly if he had died all those tweets could remain 100 unchanged,negative
rest in peace yugo asuma feb 27 2022 dec 14 2022,neutral
honestly don know what to say yugo was awesome it sad to see him go hope wherever he goes he will be happy with what he does,neutral
what happened with niji talent we got so maaaany talent graduation men this is sad like fr,negative
and now vshojo can snipe yugo haha,neutral
the world just got lot more bland where ever yugo may be next hope he knows that we ll still be cheering him on from the crowd your next stage will be legendary and the next spotlight you stand in will be brighter than ever before rest easy and recover yugo we can wait,positive
kinda minus reputation for this company for deleting vtuber without context without letting the vtuber having decent farewell to its fans if does have one they should really atleast give him farewell stream its kinda disrespect for the viewership to let this vtuber not having decent goodbyes to its fans w,negative
welcome to the nijisanji haters club niji en fans,positive
only 3 holoen members in the mario kart cup man,neutral
miss yugo sm hope he takes care,neutral
12 56 everything is there except here the rails seem uncertain laggy laggy,negative
do lego technical ford raptor,neutral
age 18 why is this nothing for 17 year olds,neutral
looks kind of like the euthanasia coaster tbh,neutral
thank you for the videos remember the old days where fantasied about getting lots of big lego set like this piece when get older but just forgot about it videos like these really ignite that passion back d,positive
looks amazing have the older lego roller coaster it looks amazing but sadly the bricks fall out easily and thats the reason stopping me from buying this one,positive
can you show something else thats popular,neutral
what is your name sir,neutral
have it,neutral
never understood why legos were so expensive 400 for this,neutral
will,neutral
this is fantastic how long did it take you to build it,positive
this is the coolest lego set so far thank you for uploading you re awesome,positive
saw this being showcased at trade show in washington dc it was incredible but that set is huge and will cost you big time and money just to pick up,positive
great video but you skipped the one step need help with step 663 not sure where that red piece goes,positive
how long did this take you,neutral
7 24 what crazy pieces are this something like 1x2 round brick,positive
looks fabulous but think ll need to rob bank to be able to afford it sadly,neutral
still listening to this,positive
if he knows wild thoughts but not this he too young for you sis x,neutral
so odd how the electric parts sound like those shreds joke videos,negative
often find myself singing this song at work just to get me through the day ngl maria was an indian prostitute,negative
never gets old soon as comes on gets turned up full blast,positive
why is carlos santana too good bro,positive
it have very style,positive
how many of mines were group with si but uum,neutral
war gotta end all on my homes princess rojo mucho grande have to too many souls evenlolos,neutral
this classic,positive
crawford gives details to errol negotiations https youtu be jtupuangdos crawford responds to charlo being matchmaker https youtu be d6ybijraug8 charlo tells crawford lubin knocks you out https youtu be nntxglg8bvw crawford calls out charlo for 3x undisputed https youtu be wnrfgfj9fea akhi ig https www instagram com akhi_t hl en,neutral
all know is 2023 wanna see bud vs spence or bud vs charlo make it happen al,neutral
benavidez that the fight everyone want to see stop playing around and prove to the world who the best,neutral
respect bro do your thing black jesus,positive
man if thats the twin that fought tony harrison aint impressed but on the other hand that boy bud crawford chunkin them thangs bud is the truth,neutral
and they wonder why boxing is dying all they do is talk floyd never took this long to fight,neutral
you have always been the real deal in chicago am keep6the focus on lions only we need ta get another tony harrison ass kicking in in part 3 charlo are the face of boxing fello 12 12 2022,positive
jermell mouth run to damn much bro give tony harrison rematch all 1 1 cause that last fight if he wasn showboating you had another bro and don give damn what people say watch the fight and observe ya self,neutral
charlo fight nobody witness protection,neutral
pbc robbing they fighters what 3 million for undisputed and what undisputed didn have money on card at restaurant,negative
crawford is going to destroy charlo for sure,negative
only dumb shit falls out of charlos mouth sign some papers and get in the ring dude lol,negative
bunch of money hungry actors,negative
all all fighters talking shit but no ones fighting boxing not like it use to be,negative
charlo should be trying to fight canelo and ben crawford skills are superior to charlo spence etc crawford is p4p the best in boxing,positive
they both are great fighters but don think crawford is ready for charlo,neutral
charlo is all smoke and mirrors fake and fraud the boxing game is building him up only for fall from grace,negative
at this point just say all scared of bud,negative
trash they will never fight each other,negative
two words we only care about in this sport let fight,negative
wow new mod menu idol,positive
like you and the red and black short short,neutral
the second one thooooooo ima need to borrow him,negative
cutie,positive
whooo,positive
amoyturner is kiss,positive
triplets,neutral
ooooo the red thoooo,neutral
all mad fineeee,neutral
thought they were siblings,neutral
they ripped that they look good all of you do,neutral
the guy in the red thooo,neutral
the one that has dreads and has read it it is fine dddddaaaaaayyyyyuuumm they fine as hell,neutral
love you girl,positive
the red tho,neutral
all need to make movie with looking like this and will strip get the camera,negative
the guy in the red is so fine,positive
not all of them fine,negative
so fineeeee,positive
the one in the red can get it,neutral
was there so fun and they are all such sweet people amazing that they spent the time going to all the cons this year to meet fans and make their dreams come true never thought would meet them all and it was so surreal to meet them on multiple occasions within the same weekend,positive
these panels you guys put up are always treat,positive
what an amazing experience they had filming the trilogy,positive
so wholesome lotr never fails to make life better,positive
they should form comedy quartet xd their comedic chemistry fits so well,positive
holy shit was just casually looking up lotr and this shit happens couple hours ago let go baby,negative
my boys will always love the lord of the rings movies,positive
want podcast of this and want it now,neutral
would have been fine if this movie were two hours of these three talking about their lives,neutral
andrew fixing tobey back problem and tobey supporting andrew for being an amazing spider man are the little things that make me smile,positive
for tobey spidey it likely he fought more villains offscreen that he chose not to mention given that he still spidey in the 14 years since we last saw him besides saving lives stopping more villains must ve remained his purpose and reminder that he the only superhero in his reality who can stop them,neutral
like this scene with all of them are talking about it,positive
it just the self talk because your me,neutral
1 52 venom,neutral
andrew want to fight an alien meanwhile we are drunk,negative
there no way this scene was scripted it too natural,negative
idk why but really like the small detail of peter 2 and peter masks being close by one another guess like it because it shows that they re all spider man but every one of their mask and suits are different but their all the same,positive
wish they had more talk it was so wholesome,positive
the best trio,positive
you can tell it meant so much to tobey and andrew to return and have some kind of closure it comes through in the scene the whole scene is great,positive
andrew wish could face an alien doctor michael morbius it morbing time,neutral
could watch this scene million times and it will never get old wish there was more of the three of them talking about their spider man lives they have perfect chemistry,positive
what are some of the craziest villains you guys have fought tom asks like anything is going to top thanos lmao,neutral
one the best and biggest moments have ever experienced finally we saw the three spiderman brothers coming together really feels like dream,positive
they could do like 2 more of these if they want to,neutral
this is so cool always wanted brothers everything about this scene was just life the big smile on andrew face tobey calling him amazing and tom is such little brother,positive
table no 21 best song,positive
love from bangladesh,positive
deserve 1billion,positive
this movie is heart touching,positive
anyone from 2014,neutral
this movie is absolute masterpiece,positive
hey stranger you have good taste in music,positive
uff ye movie aur iske songs die hard fan,positive
still love 2022,positive
chowkidar chor hain,negative
nice song,positive
just love this song and feel this lyrics hear again and again,positive
singer name plz,neutral
it really true pure hearted song,positive
am listening,neutral
heart touching song,positive
oh sajna aja ve is enough,neutral
touching song,positive
subscribe for more videos,neutral
quick math enought physchopaths to take out without much effort,neutral
jakob böhme is your idol in antechrist,neutral
crack me up,neutral
love shape of you and perfect ed sheeran is my favorite,positive
ed biggest fan can assure you m going to his concert and think spent lil to much but its worth it,positive
one big,positive
aqui está meu cantor preferido elisabete gonçalves,positive
hopefully after the release of subtract he will do power root logarithm exponential differentiate and integrate so we will have lot of other albums from him haha,negative
b r c t,neutral
please ed what is it before some stick and balls,negative
think you should think in exponential vibes now ed,neutral
0 06 plus 0 14 equals 0 23 divide 0 28 multiply 0 39 subtract 5x,neutral
noooooo,negative
need to gooooooooooooooooooooooooooooooooooooooooooooooooooo o,neutral
came to south américa pleeeeeease,neutral
that teacher got massive pair of knockers,neutral
love ed sheeran more than my mother,positive
repent to jesus christ those who are wise will shine like the brightness of the heavens and those who lead many to righteousness like the stars for ever and ever daniel 12 3 niv h,positive
realizing about the same piecemeal chief for trump in 2020 this was not surprising to me at all,neutral
russia vs ukraine israel vs palestine set them free and make the world better place you said free speech now talk about this,negative
we should not have calls on planes like that ppl are sleep reading playing games or watching movies,negative
love this trevor,positive
think the german reichsbürger believe in qano stuff are part of this community but in germany it were reichsbürger who planned to storm the parliament,negative
im with dulce lol,neutral
don think you can say that the terrorist group in germany was qanon as far as know only one member was member of qanon channel it more complicated but also more hilarious at the center is 71 year old prince who conspired in his castle because he wants to become king of germany or even emperor who knows,neutral
trevor whomever writes your jokes lacks inspiration it is no longer funny,negative
hypocrites making zelensky man of the year writing all over social media that ukrainians are invincible to push them to fight biden war sit there and clap remember 911 and the collapse of the bridge in mn and many other bad things when bush was president when the head of nation sins it everybody in that nation who pays the price you are here at peace enjoying your life while ukrainians have died by the thousands their country is destroyed so many people have lost their lives including babies and unborn babies zelensky being person of the year gives what to the ukrainians prayed so much for biden victory now am very disappointed where are america young politicians when biden leaves really hope for young president we will pay for what our government is doing in ukraine,negative
hello,neutral
incognegro is my new favorite word,neutral
go find hershel walker dulce,neutral
cool,positive
dulcé sloan for the new host puhhleeeaseee,neutral
hey trevor have quastion that why you dont take single word of what has been going on in turkey about freedom journalism human right economic crisis dont you think to take picture of cruelty in turkey,negative
hey now mobile easily beats out verizon in long beach ca location location location,neutral
china has managed to control 1 3 billion pple for decades yet americans can control crime in 1 neighborhood,negative
love this,positive
out check have you can do the same thing about,neutral
beauty and the beast france prince adam me ben shapley,neutral
don ever hide who you are unless you have buck teeth,negative
she cryin tho,negative
omg yes love the wolfcut,positive
this is my favorite song,positive
meg wig looks like her real hair,neutral
think that all of us used to lip sing lot that was phase that we all had,neutral
yes its true,positive
she is very brave to take her wig off she knows that she will an outcast,positive
exactly she played addison very well,positive
geez meg you didn really good song,negative
love the movie zombies its my favorit,positive
exist,neutral
addison im ribbing my forehead from mah hair,neutral
they are so cute,positive
the white hair in this movie is bad even though like zombies,neutral
she yanked her whole forehead,negative
purchase printable worksheet with the lower back stretches in this video here https www askdoctorjo com purchase lower back stretches worksheet don forget to hit the subscribe button above find all of my videos at youtube com askdoctorjo,neutral
have the flu and am on my period this is not pain want anyone to experience their life time the stretches helped my lower back so much,positive
who here because they get back pain from riding their skateboard all day,neutral
must admit had some twinges before doing this and they re gone now although have used some nurofen gel in the morning may ask how many times should one repeat each flex per exercise thanks,neutral
just did these stretches and feel so much pressure off my lower back,positive
your dog is adorable,positive
thankyou it wonderful of you physio doctors to give us advice you people have helped so many,positive
love you you heal me every time watch one of your videos,positive
have so much pain on my lower back all started from rt feet plantar fasciitis compensating my posture alignment to release the pain ouch it hurts my back then been for massage trying these stretches hopefully it will help,neutral
thanks for your stretching video m gonna be consistently doing them nice doggie,positive
instant relief to sharp knife like pain in my low back have sciatica due to bulge between l5 and s1 the esi is wearing off and d like to put off getting another as long as possible found low back stretch and low back exercises tonight trying to find little relief and surprisingly it really helped m sure ll still need the muscle relaxer and possibly tramadol tonight but maybe if keep this up every day ll avoid needing another esi,positive
oh my gosh wasnt expecting anything because none of my bones were cracking but it did help somewhat can finally lean down without getting hurt,positive
actually never write comments no sport injury just the weather change and bad sleeping habbits got my back all up instant relief in hour from doing 3 4 of these as trial will include this 2 3x in my weekly routine thanks,positive
my back feel much better almost at 100 in just under 10 minutes thank you,positive
started experiencing lower back pain and stiffness did these exercises once and have reduced my pain by at least 30 thank you and liked your wonder woman outfit,positive
absolutely amazing,positive
you killed it with this just did the whole routine and my back feels so much looser,positive
thank you so much,positive
thanks doctor joe ve been in pain for days now thanks for these will add it to my routine,positive
the cat dog stretch did it for me thank you so much have liked and favorited this video,positive
nobody gonna say we need interview with them two and lewis capaldi maybe like who knows niall better omg that would be so funny,neutral
niall is the biggest fan girl of himself and even one direction love hearing niall sing deep it so pretty beautiful man,positive
their laughs,neutral
they would make such cute couple,positive
let be honest this is not the first time rr watching this,neutral
one quick second know who niall is but who is anne marie his sister singer video personality never heard of the girl,neutral
that giggle at 3 32,neutral
ewwwwwww gross,neutral
who is the biggest fangirl of course it niall he literally the biggest directioner on earth,positive
anne marie ve never known any boybands niall wot no chonce,neutral
2 24 niall iconic laugh,positive
1 26 niall horan biggest fan is the man himself,neutral
missing my father so much because of the eagles,neutral
their laughs are so contagious,positive
adorable,positive
cannot stop watching 6 06 jesus,positive
this is the most beautiful friendship you will ever see not counting group friendships such as 1d for example,positive
theyre so cute,positive
einstein theory was wrong proof https drive google com file 154wessf_jxswhpyuezsdewl7lsotfdoz view usp drivesdk,neutral
europe will now start independence of energy from dictator gassed big nation,positive
so would this work underground,neutral
maybe we can use this to travel space in my lifetime,positive
wait what actually happened we ve been doing whats described in this video for while the problem is that it was costing more energy to create the reaction that we were getting this video hasn given me any info on if this is somehow no longer an issue,negative
let hope it is used for cheaper energy get feeling that america warmongering past will use it for weapons again instead,neutral
the power of the sun in the palm of my hand,positive
this is going to trigger the maga crowd,neutral
horrible news story fusion has been possible for long time the challenge is having nuclear fusion be net positive on the energy produced which this story talk nothing about,negative
feel like the hole season is over m trying to get into trading as rookie but ve had so much loss trying to trade on my own please what strategies do need to earn profits from the market,neutral
bro got hydra,neutral
me unicorn,neutral
hydra gang,neutral
the fact that im boy and got unicorn 160,neutral
my points are 30 and my pet is dragon,neutral
pizza 30 strong 30 red 0 sword 0 dog 0 reaing 40 north pole 10 110 pegasus aaaaaaaa sus,neutral
where the griffin and where griffindor from harry potter,neutral
me to got unicorn,neutral
hydra,neutral
pegasus team comment pegasus if have pegasus,neutral
am unicorn,neutral
dragon team like,neutral
griffen 220 points d,neutral
got hydra,neutral
nice got unicorn yesss,neutral
dragon,neutral
got uni,neutral
got pegasus my favorite mythical pet good hearted gentle and always ready to help ty god hope my crush love me,positive
pegasus,neutral
got 160 so got unicorn,neutral
did we just overlook when she said that while she slashed his tires she was pregnant by who if it not the plaintiff then you cheated to,negative
pregnant buddy stupid he gets no sympathy from me,negative
that why lot of black children have the worst luck she is crazy lady and he player and these two thought it would be smart to bring child into this world this lady is really psycho believe man when he says you side piece that means he never considered you anything more than that he an idiot too playing games on crazy lady on side note about that stuff being on your record even when the charges are dropped is so true in 1999 my senior year if hs come out store some drop out knew from middle school sees me and gives me hug as soon as walk out police have both of us on the floor we get arrested along with the other two guys he was with later to find out they pistol whooped dude outside of pizza hut and robbed him 3 hours earlier was released the next morning never charged because they told the police the truth wasn there and hadn seen him since middle school that probably still on my record but thank god it never came between me and my job my house paid off and everything good after graduated from umd had opportunities to apply for two different government agencies never did because was scared that incident would show up once applied to intern for government they said had red flag on my name and didn tell me anything further,negative
idc how mad she was about the cheating you don make up false accusations and how she has kids and has the energy to slash tired smh,negative
she crazy as hell and he keeps going right back to her should ve stayed faithful to your original girlfriend he going to pay for that for the next 18 years,negative
she was made fo tha streets,negative
he just as crazy as she is who would keep messing with woman after she got you arrested and now she pregnant you have some long term drama now,negative
and he still going after that woman,neutral
been saying this for while whenever women make false allegations people say its low because they keep focusing on rape not realizing the majority of the time women lies hurt men its not about rape its just lies in general,neutral
good information,positive
fellas stop lying to these baby mothers brooklyn nyc bachelorgang nokidsgang gigologang yuugh,negative
if he don leave that crazy ass broad alone they will be on the news for something worse than false charges smh all these men out here it not that serious the heart the brain and woman emotions can be dangerous thing,negative
love you,positive
great fan of dr amen work and thank you for this fantastic episode,positive
fantastic interview so helpful and informative thank you,positive
eat real organic food ditch sugar processed foods eat meat eggs don avoid them do strength training and hiit cardio yoga too they all work differently don slow down just because you get older,neutral
supplements do not absorb like real foos eat real food meat eggs fruit etc you will get all you need,negative
this is best conversation,positive
incredible loved this,positive
the best interview of dr amen ve ever watched the interview was for the viewer not the host,positive
mel you have found your niche great interview,positive
mel your the best,positive
mei dr amen the best combo,positive
thank you so much mel robbins dr amen,positive
so would supplement multivitamin be better than probiotic taken every day,neutral
wow thanks,positive
holy video dear mel and dear professor thank you,positive
can vouch for dr amens vitamins they work mel good guest for you would be dr andrew huberman super interesting guy who came up with the eye movement therapy love the new videos thanks,positive
love this guy,positive
mel robbins and dr amen the best combo thanks so much for this awesome podcast d,positive
where is the link for brain healthy supplements,neutral
grew in vermont just makes me love you more,positive
love it to watch youre videos and like the outro from pirat warriors,positive
my cat cuddled with me and watched every second of this video 10 10 we both enjoyed,positive
that wii home screen thing deadass thought somehow my dolphin emulator was open,neutral
wait min don understand is this bug or behavior made it official,neutral
know this is so off topic but why call it inner healing when you literally put inner strength in the thumbnail,neutral
noo missed it,negative
am am right first buff it doesent matter who is cleansing totem everyone get inner healing activated if one of ur member cleansed totem right and second bhvr thoughts ahhhh fuck of cleansing just take the heal infinitly looped wrong or wrong,negative
crazy ve never dealt with this because infinite tombstone baby,neutral
me after getting stick bugged screams in tyler1,neutral
want to see this mans face,neutral
do you have any skill or do you cheat in no skill survivors all day mean you are actually living proof that it takes absolutely no iq to do good and survivors,neutral
this was so fuuuun the editing omg ily classed 3,positive
such selfish survivor and youtuber never watching again,negative
be my valentine 3,positive
the double trap lol,negative
oi fam you is funny bri ish man,positive
happy to give you some new content vidéo ma boy hé hé labierasse,positive
the world would be colder place with out your videos,positive
muy bien hahha love it,positive
youtube really didn like rendering the video,negative
that it where shining alter,neutral
this is not medic but caster with life steals,neutral
reed hit enemies with s3 enemies fool this too warm for me reed killer queen sheer heart attack enemies na naniiiiiiiiiiiiiiiiiiiiiiiiiiiiii wrryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy vine boom everywhere but but i call talulah hey sis can join you again,neutral
aoe caster archetype was already dying and somehow hg managed to make it worse,negative
what the ffffff,negative
it a medic that heals skill issue perfect for me,positive
this medic is the best aoe caster ve ever seen,positive
my potato phone is screaming,neutral
fun reeder ll pull for her,positive
unbelievable build swimming pool water slide crocodile around the secret underground house https www youtube com watch 1vh14awona0 632s,positive
too bad you have to use excavators and crew of twenty guys,negative
bruh this say 1000 days and last video was 12 days ago,neutral
good,positive
good,positive
happy new year,positive
wow,positive
kequeen,positive
didnt expected this sword will be too beautifull,positive
that event is so fun mann,positive
sheesh hoyo is being generous ig 980 primos from only one event in two weeks is quite lot,positive
yay sword for kazuha,neutral
well that supposed to be simple but when your in mobile bru ite annoying because of the joystick it won let you move horizontally amd also its soooo delay btw another weapon that looks good on kazuha but not perfect fit like the last sword we got during gaa event,negative
ll use it on my aggravate kequing,neutral
when is new event will gone,neutral
lol the effect on this weapon compared to 5 star weapons,positive
ngl went for the crown 1st then all of the light books then r1 for the sword my sayu talents are 7 10 7 or 7 13 10 including constellations and ve been trying to level them up but bc resin is limited the books always holding me back,neutral
do first have to finish itto story quest for this,neutral
use it on kuki shinobutt d say it look aesthetically perfect for her and its em pretty nice for hyperbloom,positive
when free 4 star weapons are better in visual effects than 5 star weaponssss,positive
r5 when,neutral
hands down one of the best looking and best animated swords,positive
how to play this event,neutral
00 52 it moves the eye moves,neutral
if only they switched this sword with the kazuha quest sword,neutral
rip to people under lvl 40 and haven finished it quest,neutral
dang m in japan but registered my account in american server,neutral
who designs the hottest merch for seventeen https youtu be vtmxgicpu24,neutral
seungkwans outfit is so beautiful and gorgeous that am crying and crying and so many tears come out that they dissolve my frail body and become mere salt water and then evaporate into the clouds and meet up with my friends the water droplets and together we become rain over jeju island where am poured onto an orange tree to become tangerine boo seungkwan will eat,positive
jun do so good,positive
can we appreciate how perfect dino and jun are,positive
they may have different units but all of them are all in vocal line,positive
jun ending my life,neutral
this song made me like them,neutral
it so good to see them,positive
2 289m congratulations to my 13 shining diamonds,positive
congratulations seventeen for winning best new artist and best push at the 2022 mtv emas,positive
omg wonwoo looks sooo freaking good here,positive
lord ahoa nas the8 please,neutral
stop calling them models they are internet prostitutes,negative
our nation is overflowing with who find one another so quickly but then can un find one another when they need to do so,negative
courtney clenney she not guilty just free with her too courtney clenney now,neutral
they say onlyfans model so you know she ho,negative
savage,positive
first she ran to treatment for substance abuse now she using ptsd,neutral
she going away for murder she a murderer twice she stabbed him then she waited almost 15 min to call an ambulance,neutral
model really modeling abreva,positive
makeup is witch craft,neutral
she getting what she deserves she no victim she the abuser you clearly see her on video hitting the young man,neutral
it all starts with only fans no self respect therefore no respect for the life of others period,negative
she should ve taken the plea deal no way she ll convince jury she is innocent after being denied bond,neutral
set her free,neutral
pathetic live that life and it comes around,negative
he picked her should ve picked better,negative
let me go thank god this isn my problem,neutral
model umm okay sure,negative
ha she thought that the judge would let her go to posh bed breakfast inpatient treatment center she is probably never getting out of prison ever,negative
you do it so smooth but try so hard,neutral
and was top 1 in my soccer im only 7 years bruhh and you guys teached me,positive
step one step two step three love skills totorial,neutral
nice awesome work he teaches my life skills totorial when started saw was happy learned so fast you guys are the best watch no other totorial love skills totorial,positive
music,neutral
that pitch,negative
was top 14 in p11 after looking at your vids im top 2 in p10,positive
cool,positive
can you please upload my video,neutral
nice skill bro,positive
perfect,positive
hi,neutral
uploading easy to learn flashy football skills everyday to my channel subscribe to the channel for daily tutorials and skills like the videos if you want,neutral
nice,positive
world no1 football skills channel,positive
just short everything until that whats soros probably doing now it too obvious,negative
35 should be great cover or buy back,neutral
brad pitt didn play him,negative
tesla is the ultimate meme stock it is overvalued by anywhere from 10 to 20x it may have continued in its rarified state somewhat longer if not for musk twitter debacle but what happening there will force everyone to take hard look at both tesla and spacex,negative
investing in bitcoin was the best decision have ever made am profiting from crypto now after losing lot of money to scammers thank god who gives me the mind to trust ms julie believe that ms julie will bring joy to many people in the future if you know ms julie deserves worldwide recognition please gather here,positive
this guy is going to lose everything plus the shirt on his back,negative
great video really do have question for someone with less than 10 000 to invest how would you recommend we enter the crypto market am looking at studying some traders and copying their strategy rather than investing myself and losing money emotionally what your take on this approach,positive
looking for new stock or cryptocurrency to invest in short or long term gains was at seminar and the host spoke about making well over 3 5m within 4months of investing 450k any suggestions pls,neutral
tesla is over bankruptcy commin just matter of time,negative
elon not being involved in tesla can actually make the stock go up,neutral
short tesla so hard if could cover it this is where love the market smart people will salvage the wealth outta tesla back to something viable,neutral
my greatest happiness is the 28 000 biweekly profit get consistently,positive
