,comment,sentiment
582,hi,neutral
583,omg im fan,positive
584,what happened to cranier mess him on this channel,neutral
585,remember decenders,Ney
586,nah bro this ain really old school the real old school was 2015 robust memories,negative
587,do teardwon video,neutral
588,strong baby 52,neutral
589,who remembers descenders,neutral
590,golf it comes back gang beasts comes back gta comes back decenders comes back ultimate chicken horse yet to come,neutral
591,yay desenders,neutral
592,rember,neutral
593,forgot slogo,neutral
594,slogo merry christmas,positive
595,who wants logo to do another video on we need to go deeper,neutral
596,yes ve been waiting for this,positive
597,wow such normal game for rage quiters to quit in amazing ways,negative
598,yaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasssssssssssssssssssss,neutral
599,hey funkin idiots back with another video,negative
600,yay its back,positive
601,big surprise also is how fast they deleted the channel they could keep it at least for few days,negative
602,yeah graduation just say it who fired yugo normally you dont need to look good to us fans just say it you fired him didnt see anything wrong that yugo did why in christmas christmas was suppost to be the best month of the year but this is the worst sorry im bieng rude and stuff he was my happy place where do go now dont even have comfort zone now tsk this is just cruel they didnt let him say his byes think my heart will be little more calm if we get to see him for the kast time and hear him,negative
603,idk why m saying this but this year nijisanji is um kinda troubled,negative
604,sad that ina will not take part in the tournament last year she showed good performance and most importantly received bunch of positive emotions,positive
605,nearly all of holoen getting sick and now m sick for the first time in more than decade wtf is going on,negative
606,worked during the entire time of covid went shopping went to couple of restaurants with the family and have yet to get covid once and why do tuber get it even people work with got it and we don have lot of distance at work to be fair but we work outdoors maybe that the difference,neutral
607,really really despise the use of the term graduated and how it sanitizes and whitewashes the reality of these situations it feels like such scummy corporate sugarcoating to try and not paint the corporation in any semblance of bad light we have decided to have yugo asuma graduate bullshit just fucking call it as it is you fired him,negative
608,being influencer on social media youtube is not something to be taken lightly especially when you are being vtuber who has to act and play role this two separate identities tears at your ego apart,neutral
609,when people hate on holo when people hate on vshojo when people hate on niji oh my,negative
610,it feels bittersweet to see yuguys wishing yugo success in whatever he goes off to do next knowing that the fans might never be directed towards that chapter of yugo post life unless some doxsite were to connect the dots,negative
611,god damn they behave like he died tragic death bro was fired and you liked him so it fine to be sad and shocked but there is no need to word it like that honestly if he had died all those tweets could remain 100 unchanged,negative
612,rest in peace yugo asuma feb 27 2022 dec 14 2022,neutral
613,honestly don know what to say yugo was awesome it sad to see him go hope wherever he goes he will be happy with what he does,neutral
614,what happened with niji talent we got so maaaany talent graduation men this is sad like fr,negative
615,and now vshojo can snipe yugo haha,neutral
616,the world just got lot more bland where ever yugo may be next hope he knows that we ll still be cheering him on from the crowd your next stage will be legendary and the next spotlight you stand in will be brighter than ever before rest easy and recover yugo we can wait,positive
617,kinda minus reputation for this company for deleting vtuber without context without letting the vtuber having decent farewell to its fans if does have one they should really atleast give him farewell stream its kinda disrespect for the viewership to let this vtuber not having decent goodbyes to its fans w,negative
618,welcome to the nijisanji haters club niji en fans,positive
619,only 3 holoen members in the mario kart cup man,neutral
620,miss yugo sm hope he takes care,neutral
621,12 56 everything is there except here the rails seem uncertain laggy laggy,negative
622,do lego technical ford raptor,neutral
623,age 18 why is this nothing for 17 year olds,neutral
624,looks kind of like the euthanasia coaster tbh,neutral
625,thank you for the videos remember the old days where fantasied about getting lots of big lego set like this piece when get older but just forgot about it videos like these really ignite that passion back d,positive
626,looks amazing have the older lego roller coaster it looks amazing but sadly the bricks fall out easily and thats the reason stopping me from buying this one,positive
627,can you show something else thats popular,neutral
628,what is your name sir,neutral
629,have it,neutral
630,never understood why legos were so expensive 400 for this,neutral
631,will,neutral
632,this is fantastic how long did it take you to build it,positive
633,this is the coolest lego set so far thank you for uploading you re awesome,positive
634,saw this being showcased at trade show in washington dc it was incredible but that set is huge and will cost you big time and money just to pick up,positive
635,great video but you skipped the one step need help with step 663 not sure where that red piece goes,positive
636,how long did this take you,neutral
637,7 24 what crazy pieces are this something like 1x2 round brick,positive
638,looks fabulous but think ll need to rob bank to be able to afford it sadly,neutral
639,still listening to this,positive
640,if he knows wild thoughts but not this he too young for you sis x,neutral
641,so odd how the electric parts sound like those shreds joke videos,negative
642,often find myself singing this song at work just to get me through the day ngl maria was an indian prostitute,negative
643,never gets old soon as comes on gets turned up full blast,positive
644,why is carlos santana too good bro,positive
645,it have very style,positive
646,how many of mines were group with si but uum,neutral
647,war gotta end all on my homes princess rojo mucho grande have to too many souls evenlolos,neutral
648,this classic,positive
649,crawford gives details to errol negotiations https youtu be jtupuangdos crawford responds to charlo being matchmaker https youtu be d6ybijraug8 charlo tells crawford lubin knocks you out https youtu be nntxglg8bvw crawford calls out charlo for 3x undisputed https youtu be wnrfgfj9fea akhi ig https www instagram com akhi_t hl en,neutral
650,all know is 2023 wanna see bud vs spence or bud vs charlo make it happen al,neutral
651,benavidez that the fight everyone want to see stop playing around and prove to the world who the best,neutral
652,respect bro do your thing black jesus,positive
653,man if thats the twin that fought tony harrison aint impressed but on the other hand that boy bud crawford chunkin them thangs bud is the truth,neutral
654,and they wonder why boxing is dying all they do is talk floyd never took this long to fight,neutral
655,you have always been the real deal in chicago am keep6the focus on lions only we need ta get another tony harrison ass kicking in in part 3 charlo are the face of boxing fello 12 12 2022,positive
656,jermell mouth run to damn much bro give tony harrison rematch all 1 1 cause that last fight if he wasn showboating you had another bro and don give damn what people say watch the fight and observe ya self,neutral
657,charlo fight nobody witness protection,neutral
658,pbc robbing they fighters what 3 million for undisputed and what undisputed didn have money on card at restaurant,negative
659,crawford is going to destroy charlo for sure,negative
660,only dumb shit falls out of charlos mouth sign some papers and get in the ring dude lol,negative
661,bunch of money hungry actors,negative
662,all all fighters talking shit but no ones fighting boxing not like it use to be,negative
663,charlo should be trying to fight canelo and ben crawford skills are superior to charlo spence etc crawford is p4p the best in boxing,positive
664,they both are great fighters but don think crawford is ready for charlo,neutral
665,charlo is all smoke and mirrors fake and fraud the boxing game is building him up only for fall from grace,negative
666,at this point just say all scared of bud,negative
667,trash they will never fight each other,negative
668,two words we only care about in this sport let fight,negative
669,wow new mod menu idol,positive
670,like you and the red and black short short,neutral
671,the second one thooooooo ima need to borrow him,negative
672,cutie,positive
673,whooo,positive
674,amoyturner is kiss,positive
675,triplets,neutral
676,ooooo the red thoooo,neutral
677,all mad fineeee,neutral
678,thought they were siblings,neutral
679,they ripped that they look good all of you do,neutral
680,the guy in the red thooo,neutral
681,the one that has dreads and has read it it is fine dddddaaaaaayyyyyuuumm they fine as hell,neutral
682,love you girl,positive
683,the red tho,neutral
684,all need to make movie with looking like this and will strip get the camera,negative
685,the guy in the red is so fine,positive
686,not all of them fine,negative
687,so fineeeee,positive
688,the one in the red can get it,neutral
689,was there so fun and they are all such sweet people amazing that they spent the time going to all the cons this year to meet fans and make their dreams come true never thought would meet them all and it was so surreal to meet them on multiple occasions within the same weekend,positive
690,these panels you guys put up are always treat,positive
691,what an amazing experience they had filming the trilogy,positive
692,so wholesome lotr never fails to make life better,positive
693,they should form comedy quartet xd their comedic chemistry fits so well,positive
694,holy shit was just casually looking up lotr and this shit happens couple hours ago let go baby,negative
695,my boys will always love the lord of the rings movies,positive
696,want podcast of this and want it now,neutral
697,would have been fine if this movie were two hours of these three talking about their lives,neutral
698,andrew fixing tobey back problem and tobey supporting andrew for being an amazing spider man are the little things that make me smile,positive
699,for tobey spidey it likely he fought more villains offscreen that he chose not to mention given that he still spidey in the 14 years since we last saw him besides saving lives stopping more villains must ve remained his purpose and reminder that he the only superhero in his reality who can stop them,neutral
700,like this scene with all of them are talking about it,positive
701,it just the self talk because your me,neutral
702,1 52 venom,neutral
703,andrew want to fight an alien meanwhile we are drunk,negative
704,there no way this scene was scripted it too natural,negative
705,idk why but really like the small detail of peter 2 and peter masks being close by one another guess like it because it shows that they re all spider man but every one of their mask and suits are different but their all the same,positive
706,wish they had more talk it was so wholesome,positive
707,the best trio,positive
708,you can tell it meant so much to tobey and andrew to return and have some kind of closure it comes through in the scene the whole scene is great,positive
709,andrew wish could face an alien doctor michael morbius it morbing time,neutral
710,could watch this scene million times and it will never get old wish there was more of the three of them talking about their spider man lives they have perfect chemistry,positive
711,what are some of the craziest villains you guys have fought tom asks like anything is going to top thanos lmao,neutral
712,one the best and biggest moments have ever experienced finally we saw the three spiderman brothers coming together really feels like dream,positive
713,they could do like 2 more of these if they want to,neutral
714,this is so cool always wanted brothers everything about this scene was just life the big smile on andrew face tobey calling him amazing and tom is such little brother,positive
715,table no 21 best song,positive
716,love from bangladesh,positive
717,deserve 1billion,positive
718,this movie is heart touching,positive
719,anyone from 2014,neutral
720,this movie is absolute masterpiece,positive
721,hey stranger you have good taste in music,positive
722,uff ye movie aur iske songs die hard fan,positive
723,still love 2022,positive
724,chowkidar chor hain,negative
725,nice song,positive
726,just love this song and feel this lyrics hear again and again,positive
727,singer name plz,neutral
728,it really true pure hearted song,positive
729,am listening,neutral
730,heart touching song,positive
731,oh sajna aja ve is enough,neutral
732,touching song,positive
733,subscribe for more videos,neutral
734,quick math enought physchopaths to take out without much effort,neutral
735,jakob böhme is your idol in antechrist,neutral
736,crack me up,neutral
737,love shape of you and perfect ed sheeran is my favorite,positive
738,ed biggest fan can assure you m going to his concert and think spent lil to much but its worth it,positive
739,one big,positive
740,aqui está meu cantor preferido elisabete gonçalves,positive
741,hopefully after the release of subtract he will do power root logarithm exponential differentiate and integrate so we will have lot of other albums from him haha,negative
742,b r c t,neutral
743,please ed what is it before some stick and balls,negative
744,think you should think in exponential vibes now ed,neutral
745,0 06 plus 0 14 equals 0 23 divide 0 28 multiply 0 39 subtract 5x,neutral
746,noooooo,negative
747,need to gooooooooooooooooooooooooooooooooooooooooooooooooooo o,neutral
748,came to south américa pleeeeeease,neutral
749,that teacher got massive pair of knockers,neutral
750,love ed sheeran more than my mother,positive
751,repent to jesus christ those who are wise will shine like the brightness of the heavens and those who lead many to righteousness like the stars for ever and ever daniel 12 3 niv h,positive
752,realizing about the same piecemeal chief for trump in 2020 this was not surprising to me at all,neutral
753,russia vs ukraine israel vs palestine set them free and make the world better place you said free speech now talk about this,negative
754,we should not have calls on planes like that ppl are sleep reading playing games or watching movies,negative
755,love this trevor,positive
756,think the german reichsbürger believe in qano stuff are part of this community but in germany it were reichsbürger who planned to storm the parliament,negative
757,im with dulce lol,neutral
758,don think you can say that the terrorist group in germany was qanon as far as know only one member was member of qanon channel it more complicated but also more hilarious at the center is 71 year old prince who conspired in his castle because he wants to become king of germany or even emperor who knows,neutral
759,trevor whomever writes your jokes lacks inspiration it is no longer funny,negative
760,hypocrites making zelensky man of the year writing all over social media that ukrainians are invincible to push them to fight biden war sit there and clap remember 911 and the collapse of the bridge in mn and many other bad things when bush was president when the head of nation sins it everybody in that nation who pays the price you are here at peace enjoying your life while ukrainians have died by the thousands their country is destroyed so many people have lost their lives including babies and unborn babies zelensky being person of the year gives what to the ukrainians prayed so much for biden victory now am very disappointed where are america young politicians when biden leaves really hope for young president we will pay for what our government is doing in ukraine,negative
761,hello,neutral
762,incognegro is my new favorite word,neutral
763,go find hershel walker dulce,neutral
764,cool,positive
765,dulcé sloan for the new host puhhleeeaseee,neutral
766,hey trevor have quastion that why you dont take single word of what has been going on in turkey about freedom journalism human right economic crisis dont you think to take picture of cruelty in turkey,negative
767,hey now mobile easily beats out verizon in long beach ca location location location,neutral
768,china has managed to control 1 3 billion pple for decades yet americans can control crime in 1 neighborhood,negative
769,love this,positive
770,out check have you can do the same thing about,neutral
771,beauty and the beast france prince adam me ben shapley,neutral
772,don ever hide who you are unless you have buck teeth,negative
773,she cryin tho,negative
774,omg yes love the wolfcut,positive
775,this is my favorite song,positive
776,meg wig looks like her real hair,neutral
777,think that all of us used to lip sing lot that was phase that we all had,neutral
778,yes its true,positive
779,she is very brave to take her wig off she knows that she will an outcast,positive
780,exactly she played addison very well,positive
781,geez meg you didn really good song,negative
782,love the movie zombies its my favorit,positive
783,exist,neutral
784,addison im ribbing my forehead from mah hair,neutral
785,they are so cute,positive
786,the white hair in this movie is bad even though like zombies,neutral
787,she yanked her whole forehead,negative
788,purchase printable worksheet with the lower back stretches in this video here https www askdoctorjo com purchase lower back stretches worksheet don forget to hit the subscribe button above find all of my videos at youtube com askdoctorjo,neutral
789,have the flu and am on my period this is not pain want anyone to experience their life time the stretches helped my lower back so much,positive
790,who here because they get back pain from riding their skateboard all day,neutral
791,must admit had some twinges before doing this and they re gone now although have used some nurofen gel in the morning may ask how many times should one repeat each flex per exercise thanks,neutral
792,just did these stretches and feel so much pressure off my lower back,positive
793,your dog is adorable,positive
794,thankyou it wonderful of you physio doctors to give us advice you people have helped so many,positive
795,love you you heal me every time watch one of your videos,positive
796,have so much pain on my lower back all started from rt feet plantar fasciitis compensating my posture alignment to release the pain ouch it hurts my back then been for massage trying these stretches hopefully it will help,neutral
797,thanks for your stretching video m gonna be consistently doing them nice doggie,positive
798,instant relief to sharp knife like pain in my low back have sciatica due to bulge between l5 and s1 the esi is wearing off and d like to put off getting another as long as possible found low back stretch and low back exercises tonight trying to find little relief and surprisingly it really helped m sure ll still need the muscle relaxer and possibly tramadol tonight but maybe if keep this up every day ll avoid needing another esi,positive
799,oh my gosh wasnt expecting anything because none of my bones were cracking but it did help somewhat can finally lean down without getting hurt,positive
800,actually never write comments no sport injury just the weather change and bad sleeping habbits got my back all up instant relief in hour from doing 3 4 of these as trial will include this 2 3x in my weekly routine thanks,positive
801,my back feel much better almost at 100 in just under 10 minutes thank you,positive
802,started experiencing lower back pain and stiffness did these exercises once and have reduced my pain by at least 30 thank you and liked your wonder woman outfit,positive
803,absolutely amazing,positive
804,you killed it with this just did the whole routine and my back feels so much looser,positive
805,thank you so much,positive
806,thanks doctor joe ve been in pain for days now thanks for these will add it to my routine,positive
807,the cat dog stretch did it for me thank you so much have liked and favorited this video,positive
808,nobody gonna say we need interview with them two and lewis capaldi maybe like who knows niall better omg that would be so funny,neutral
809,niall is the biggest fan girl of himself and even one direction love hearing niall sing deep it so pretty beautiful man,positive
810,their laughs,neutral
811,they would make such cute couple,positive
812,let be honest this is not the first time rr watching this,neutral
813,one quick second know who niall is but who is anne marie his sister singer video personality never heard of the girl,neutral
814,that giggle at 3 32,neutral
815,ewwwwwww gross,neutral
816,who is the biggest fangirl of course it niall he literally the biggest directioner on earth,positive
817,anne marie ve never known any boybands niall wot no chonce,neutral
818,2 24 niall iconic laugh,positive
819,1 26 niall horan biggest fan is the man himself,neutral
820,missing my father so much because of the eagles,neutral
821,their laughs are so contagious,positive
822,adorable,positive
823,cannot stop watching 6 06 jesus,positive
824,this is the most beautiful friendship you will ever see not counting group friendships such as 1d for example,positive
825,theyre so cute,positive
826,einstein theory was wrong proof https drive google com file 154wessf_jxswhpyuezsdewl7lsotfdoz view usp drivesdk,neutral
827,europe will now start independence of energy from dictator gassed big nation,positive
828,so would this work underground,neutral
829,maybe we can use this to travel space in my lifetime,positive
830,wait what actually happened we ve been doing whats described in this video for while the problem is that it was costing more energy to create the reaction that we were getting this video hasn given me any info on if this is somehow no longer an issue,negative
831,let hope it is used for cheaper energy get feeling that america warmongering past will use it for weapons again instead,neutral
832,the power of the sun in the palm of my hand,positive
833,this is going to trigger the maga crowd,neutral
834,horrible news story fusion has been possible for long time the challenge is having nuclear fusion be net positive on the energy produced which this story talk nothing about,negative
835,feel like the hole season is over m trying to get into trading as rookie but ve had so much loss trying to trade on my own please what strategies do need to earn profits from the market,neutral
836,bro got hydra,neutral
837,me unicorn,neutral
838,hydra gang,neutral
839,the fact that im boy and got unicorn 160,neutral
840,my points are 30 and my pet is dragon,neutral
841,pizza 30 strong 30 red 0 sword 0 dog 0 reaing 40 north pole 10 110 pegasus aaaaaaaa sus,neutral
842,where the griffin and where griffindor from harry potter,neutral
843,me to got unicorn,neutral
844,hydra,neutral
845,pegasus team comment pegasus if have pegasus,neutral
846,am unicorn,neutral
847,dragon team like,neutral
848,griffen 220 points d,neutral
849,got hydra,neutral
850,nice got unicorn yesss,neutral
851,dragon,neutral
852,got uni,neutral
853,got pegasus my favorite mythical pet good hearted gentle and always ready to help ty god hope my crush love me,positive
854,pegasus,neutral
855,got 160 so got unicorn,neutral
856,did we just overlook when she said that while she slashed his tires she was pregnant by who if it not the plaintiff then you cheated to,negative
857,pregnant buddy stupid he gets no sympathy from me,negative
858,that why lot of black children have the worst luck she is crazy lady and he player and these two thought it would be smart to bring child into this world this lady is really psycho believe man when he says you side piece that means he never considered you anything more than that he an idiot too playing games on crazy lady on side note about that stuff being on your record even when the charges are dropped is so true in 1999 my senior year if hs come out store some drop out knew from middle school sees me and gives me hug as soon as walk out police have both of us on the floor we get arrested along with the other two guys he was with later to find out they pistol whooped dude outside of pizza hut and robbed him 3 hours earlier was released the next morning never charged because they told the police the truth wasn there and hadn seen him since middle school that probably still on my record but thank god it never came between me and my job my house paid off and everything good after graduated from umd had opportunities to apply for two different government agencies never did because was scared that incident would show up once applied to intern for government they said had red flag on my name and didn tell me anything further,negative
859,idc how mad she was about the cheating you don make up false accusations and how she has kids and has the energy to slash tired smh,negative
860,she crazy as hell and he keeps going right back to her should ve stayed faithful to your original girlfriend he going to pay for that for the next 18 years,negative
861,she was made fo tha streets,negative
862,he just as crazy as she is who would keep messing with woman after she got you arrested and now she pregnant you have some long term drama now,negative
863,and he still going after that woman,neutral
864,been saying this for while whenever women make false allegations people say its low because they keep focusing on rape not realizing the majority of the time women lies hurt men its not about rape its just lies in general,neutral
865,good information,positive
866,fellas stop lying to these baby mothers brooklyn nyc bachelorgang nokidsgang gigologang yuugh,negative
867,if he don leave that crazy ass broad alone they will be on the news for something worse than false charges smh all these men out here it not that serious the heart the brain and woman emotions can be dangerous thing,negative
868,love you,positive
869,great fan of dr amen work and thank you for this fantastic episode,positive
870,fantastic interview so helpful and informative thank you,positive
871,eat real organic food ditch sugar processed foods eat meat eggs don avoid them do strength training and hiit cardio yoga too they all work differently don slow down just because you get older,neutral
872,supplements do not absorb like real foos eat real food meat eggs fruit etc you will get all you need,negative
873,this is best conversation,positive
874,incredible loved this,positive
875,the best interview of dr amen ve ever watched the interview was for the viewer not the host,positive
876,mel you have found your niche great interview,positive
877,mel your the best,positive
878,mei dr amen the best combo,positive
879,thank you so much mel robbins dr amen,positive
880,so would supplement multivitamin be better than probiotic taken every day,neutral
881,wow thanks,positive
882,holy video dear mel and dear professor thank you,positive
883,can vouch for dr amens vitamins they work mel good guest for you would be dr andrew huberman super interesting guy who came up with the eye movement therapy love the new videos thanks,positive
884,love this guy,positive
885,mel robbins and dr amen the best combo thanks so much for this awesome podcast d,positive
886,where is the link for brain healthy supplements,neutral
887,grew in vermont just makes me love you more,positive
888,love it to watch youre videos and like the outro from pirat warriors,positive
889,my cat cuddled with me and watched every second of this video 10 10 we both enjoyed,positive
890,that wii home screen thing deadass thought somehow my dolphin emulator was open,neutral
891,wait min don understand is this bug or behavior made it official,neutral
892,know this is so off topic but why call it inner healing when you literally put inner strength in the thumbnail,neutral
893,noo missed it,negative
894,am am right first buff it doesent matter who is cleansing totem everyone get inner healing activated if one of ur member cleansed totem right and second bhvr thoughts ahhhh fuck of cleansing just take the heal infinitly looped wrong or wrong,negative
895,crazy ve never dealt with this because infinite tombstone baby,neutral
896,me after getting stick bugged screams in tyler1,neutral
897,want to see this mans face,neutral
898,do you have any skill or do you cheat in no skill survivors all day mean you are actually living proof that it takes absolutely no iq to do good and survivors,neutral
899,this was so fuuuun the editing omg ily classed 3,positive
900,such selfish survivor and youtuber never watching again,negative
901,be my valentine 3,positive
902,the double trap lol,negative
903,oi fam you is funny bri ish man,positive
904,happy to give you some new content vidéo ma boy hé hé labierasse,positive
905,the world would be colder place with out your videos,positive
906,muy bien hahha love it,positive
907,youtube really didn like rendering the video,negative
908,that it where shining alter,neutral
909,this is not medic but caster with life steals,neutral
910,reed hit enemies with s3 enemies fool this too warm for me reed killer queen sheer heart attack enemies na naniiiiiiiiiiiiiiiiiiiiiiiiiiiiii wrryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy vine boom everywhere but but i call talulah hey sis can join you again,neutral
911,aoe caster archetype was already dying and somehow hg managed to make it worse,negative
912,what the ffffff,negative
913,it a medic that heals skill issue perfect for me,positive
914,this medic is the best aoe caster ve ever seen,positive
915,my potato phone is screaming,neutral
916,fun reeder ll pull for her,positive
917,unbelievable build swimming pool water slide crocodile around the secret underground house https www youtube com watch 1vh14awona0 632s,positive
918,too bad you have to use excavators and crew of twenty guys,negative
919,bruh this say 1000 days and last video was 12 days ago,neutral
920,good,positive
921,good,positive
922,happy new year,positive
923,wow,positive
924,kequeen,positive
925,didnt expected this sword will be too beautifull,positive
926,that event is so fun mann,positive
927,sheesh hoyo is being generous ig 980 primos from only one event in two weeks is quite lot,positive
928,yay sword for kazuha,neutral
929,well that supposed to be simple but when your in mobile bru ite annoying because of the joystick it won let you move horizontally amd also its soooo delay btw another weapon that looks good on kazuha but not perfect fit like the last sword we got during gaa event,negative
930,ll use it on my aggravate kequing,neutral
931,when is new event will gone,neutral
932,lol the effect on this weapon compared to 5 star weapons,positive
933,ngl went for the crown 1st then all of the light books then r1 for the sword my sayu talents are 7 10 7 or 7 13 10 including constellations and ve been trying to level them up but bc resin is limited the books always holding me back,neutral
934,do first have to finish itto story quest for this,neutral
935,use it on kuki shinobutt d say it look aesthetically perfect for her and its em pretty nice for hyperbloom,positive
936,when free 4 star weapons are better in visual effects than 5 star weaponssss,positive
937,r5 when,neutral
938,hands down one of the best looking and best animated swords,positive
939,how to play this event,neutral
940,00 52 it moves the eye moves,neutral
941,if only they switched this sword with the kazuha quest sword,neutral
942,rip to people under lvl 40 and haven finished it quest,neutral
943,dang m in japan but registered my account in american server,neutral
944,who designs the hottest merch for seventeen https youtu be vtmxgicpu24,neutral
945,seungkwans outfit is so beautiful and gorgeous that am crying and crying and so many tears come out that they dissolve my frail body and become mere salt water and then evaporate into the clouds and meet up with my friends the water droplets and together we become rain over jeju island where am poured onto an orange tree to become tangerine boo seungkwan will eat,positive
946,jun do so good,positive
947,can we appreciate how perfect dino and jun are,positive
948,they may have different units but all of them are all in vocal line,positive
949,jun ending my life,neutral
950,this song made me like them,neutral
951,it so good to see them,positive
952,2 289m congratulations to my 13 shining diamonds,positive
953,congratulations seventeen for winning best new artist and best push at the 2022 mtv emas,positive
954,omg wonwoo looks sooo freaking good here,positive
955,lord ahoa nas the8 please,neutral
956,stop calling them models they are internet prostitutes,negative
957,our nation is overflowing with who find one another so quickly but then can un find one another when they need to do so,negative
958,courtney clenney she not guilty just free with her too courtney clenney now,neutral
959,they say onlyfans model so you know she ho,negative
960,savage,positive
961,first she ran to treatment for substance abuse now she using ptsd,neutral
962,she going away for murder she a murderer twice she stabbed him then she waited almost 15 min to call an ambulance,neutral
963,model really modeling abreva,positive
964,makeup is witch craft,neutral
965,she getting what she deserves she no victim she the abuser you clearly see her on video hitting the young man,neutral
966,it all starts with only fans no self respect therefore no respect for the life of others period,negative
967,she should ve taken the plea deal no way she ll convince jury she is innocent after being denied bond,neutral
968,set her free,neutral
969,pathetic live that life and it comes around,negative
970,he picked her should ve picked better,negative
971,let me go thank god this isn my problem,neutral
972,model umm okay sure,negative
973,ha she thought that the judge would let her go to posh bed breakfast inpatient treatment center she is probably never getting out of prison ever,negative
974,you do it so smooth but try so hard,neutral
975,and was top 1 in my soccer im only 7 years bruhh and you guys teached me,positive
976,step one step two step three love skills totorial,neutral
977,nice awesome work he teaches my life skills totorial when started saw was happy learned so fast you guys are the best watch no other totorial love skills totorial,positive
978,music,neutral
979,that pitch,negative
980,was top 14 in p11 after looking at your vids im top 2 in p10,positive
981,cool,positive
982,can you please upload my video,neutral
983,nice skill bro,positive
984,perfect,positive
985,hi,neutral
986,uploading easy to learn flashy football skills everyday to my channel subscribe to the channel for daily tutorials and skills like the videos if you want,neutral
987,nice,positive
988,world no1 football skills channel,positive
989,just short everything until that whats soros probably doing now it too obvious,negative
990,35 should be great cover or buy back,neutral
991,brad pitt didn play him,negative
992,tesla is the ultimate meme stock it is overvalued by anywhere from 10 to 20x it may have continued in its rarified state somewhat longer if not for musk twitter debacle but what happening there will force everyone to take hard look at both tesla and spacex,negative
993,investing in bitcoin was the best decision have ever made am profiting from crypto now after losing lot of money to scammers thank god who gives me the mind to trust ms julie believe that ms julie will bring joy to many people in the future if you know ms julie deserves worldwide recognition please gather here,positive
994,this guy is going to lose everything plus the shirt on his back,negative
995,great video really do have question for someone with less than 10 000 to invest how would you recommend we enter the crypto market am looking at studying some traders and copying their strategy rather than investing myself and losing money emotionally what your take on this approach,positive
996,looking for new stock or cryptocurrency to invest in short or long term gains was at seminar and the host spoke about making well over 3 5m within 4months of investing 450k any suggestions pls,neutral
997,tesla is over bankruptcy commin just matter of time,negative
998,elon not being involved in tesla can actually make the stock go up,neutral
999,short tesla so hard if could cover it this is where love the market smart people will salvage the wealth outta tesla back to something viable,neutral
1000,my greatest happiness is the 28 000 biweekly profit get consistently,positive
1001,long term investors know that the market and economy will recover eventually and investors should be positioned for such rebound gained 270k from bitcoin in 2021 before the market crash and now am buying again adding more at time having good financial advisor like mrs yen medline will add to your success in the crypto market,neutral
1002,amature hour big time,negative
1003,gotta loves markets stock moves in the direction of your position investment thesis is confirmed,neutral
1004,hahahaha this guy shorts tsla then goes on tv telling everyone the stock is trash the sheep will sell off their shares causing the stock to drop then he executes his shorts makes millions then buys up shares at discount this is rinse and repeat method from famous people who get voice on tv,negative
1005,these people are market manipulators you don know what they are doing behind the scenes,Negaitve
1006,people want teslas go to south korea and see tesla around without trying,negative
1007,not mischaracterization it a flat out lie,negative
1008,why should public figure ever be able to hide you run for office you do heinous things people should know where you live there no implication of violence there at least not from the left because there are virtually no incidences of left wing violence nobody is shooting up clan rallies it black churches it unitarian churches the left is not going out sanctioning and committing violence so condemning conservative politician getting doxed is just wrong there should be consequences for behavior _especially_ if you re person who is in power,negative
1009,katie porter from what have seen of her is awesome she is what every member of congress should aspire too she is my mrs smith goes to washington this is what want in my representatives instead have kirsten cinema useless turd,positive
1010,the far left libs are no better than the far right christian karen come from both sides,neutral
1011,republicans do believe lies and cheating are moral from their end cause of course god is on their side cenk believing they know they are in the wrong just doesn go with common human behavior cenk also picked bad time to say no cookies for you too ana,negative
1012,if you are deliberately doing publicity k you re public personality don believe you have right not to be doxed with the exception of whistle blowers if you are inciting mob then the mob and the people in the mob crosshairs should be able to see you as well,negative
1013,katie is just too dangerous because she is the goat so obviously they had to make up some lies about her pathetic,negative
1014,is it me or is anna becoming low key annoying,neutral
1015,elon is the real soup nazi,negative
1016,katie is the bomb she the hardest working congress member for the people of america,positive
1017,the real libtards of tiktok there fixed it,neutral
1018,think this is where the critical thinking kicks in it does wonders when you master it,neutral
